employer,headline,occupation,ai_industry,ai_locations,ai_technology
"Swedbank AB","Chief Product Owner, Anti Financial Crime, Tools & Technology Value Stream","Säkerhetsanalytiker, IT","Finance, Financial Crime, Cyber Security","Stockholm, Riga, Vilnius, Tallinn","DevSecOps,CI/CD,Jira,Confluence,MS Excel,PowerPoint"
"Swedbank AB","Infrastructure Engineer","Driftledare, IT",Banking,Sweden,"DNS architecture,Constructions of new solutions,Maintenance of systems/applications,Scripting skills,Infoblox IPAM,Migrations of DNS and DHCP workloads,ISC BIND,Automation around Infoblox"
"Swedbank AB","Infrastructure Engineer","Driftledare, IT",FinTech,"Stockholm, Tallinn","Network security architecture ,Firewall ,ADC ,Proxy solutions ,IDS/IPS"
"Swedbank AB","Management Advisor to Digital Banking & IT",Systemanalytiker/Systemutredare,Financial,"Stockholm, Sundbyberg","Open Banking ,Digital Tools ,Innovative Solutions ,Executive Reporting ,Strategic Planning ,Strategic Transformation ,Communication ,Culture ,Event Management ,Project Management ,Workshop Facilitation"
"Swedbank AB","Agile Product Owner to Regulatory Technology",Systemanalytiker/Systemutredare,"Financial Services",Sundbyberg,"API integrations,Agile methodologies,Advanced technology"
"Swedbank AB","ServiceNow developer with focus on Security Modules",Mjukvaruutvecklare,Banking,"Sundbyberg,Riga,Tallinn,Vilnius","ServiceNow,JavaScript,AngularJS,jQuery,Bootstrap,SOAP,REST,T-SQL,PL/SQL,Linux/UNIX,Machine Learning"
"Swedbank AB","Cobol Software Engineer",Systemutvecklare/Programmerare,Banking,"Stockholm, Vilnius, Riga","Mainframe,DB2,Cobol,SQL,IMS,CICS,IMS/DB,JCL"
"Swedbank AB","Software Engineer",Frontend-utvecklare,Banking,Stockholm,"Frontend/Web (HTML, JavaScript, TypeScript, JQuery) with framework such as Angular/AngularJS, Spring/Spring Boot. ,Integration technologies such as REST, SOAP, JMS/MQ ,Knowledge in SQL database, Java EE. ,Development tools such as WebSphere/ Kubernetes, Git, Jenkins, Node, Bitbucket, WebStorm. ,Test framework like Junit, Karma and Postman, Swagger-ui."
"Swedbank AB","Infrastructure Engineer",Nätverkstekniker,Banking,"Stockholm, Tallinn","Routing/switching,MPLS,Agile methods"
"Swedbank AB","Senior Data Scientist",Systemansvarig,"Retail Banking","Stockholm HQ","SAS,Python,R"
"Swedbank AB","Senior Oracle PaaS/IaaS Software Engineer",Mjukvaruutvecklare,Accounting,"Stockholm HQ","Oracle IaaS/PaaS,CI/CD,Database centric solutions"
"Swedbank AB","Data Analyst Accounting",Databasutvecklare,"Financial Accounting","Stockholm HQ","Oracle Cloud ,SQL"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Lithuania,"Core Java / J2EE (EJB),REST services,Angular,HTML,CSS,RTC,GIT,Eclipse,Intellij,WAS (Websphere Application Server)"
"Swedbank AB","IT / Business Analyst to Digital Identity",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm HQ, Tallinn, Riga, Vilnius","Cyber security infrastructure,Software development"
"Swedbank AB","Senior Front-end Software Engineer, Digital Banking",Frontend-utvecklare,Banking,Stockholm,"Frontend/Web (HTML, JavaScript, TypeScript, JQuery) with framework such as Angular/AngularJS, Spring/Spring Boot. ,Integration technologies such as REST, SOAP, JMS/MQ ,Knowledge in SQL database, Java EE. ,Development tools such as WebSphere/ Kubernetes, Git, Jenkins, Node, Bitbucket, WebStorm. ,Test framework like Junit, Karma and Postman, Swagger-ui."
"Swedbank AB","Cyber Security Assurance Officer","Säkerhetsanalytiker, IT",Banking,Stockholm,"Information security audits and assurance,Designing and evaluating security controls,Designing and improving audit and assurance programs and methodologies,Policy and control framework design, mapping, and assurance,Change and program management,Automated and digital tools"
"Swedbank AB","Senior Application Specialist to Production Support",Systemansvarig,"Financial Mathematics, Engineering, Computer Science, Trading, Sales and Operations.",Stockholm,"SAFe,Trading systems,Trading views and reports,Calypso trading system"
"Swedbank AB","Big Data / ETL Engineer",Mjukvaruutvecklare,Banking,Stockholm,"ETL framework,Change Data Capture (CDC),Sourcing data from mainframe and other RDBMS,Automation of data reconciliation against source systems,Quality controls on data pipelines,Release and Deploy using DevOps pipelines,Jenkins,Bitbucket,Shell,PowerShell,Python,Scala,Hadoop,Azure"
"Swedbank AB","Big Data / ETL Engineer",Mjukvaruutvecklare,Banking,Stockholm,"ETL framework,Change Data Capture (CDC),Sourcing data from mainframe and other RDBMS,Automation of data reconciliation against source systems,Quality controls on data pipelines,Release and Deploy using DevOps pipelines,Jenkins,Bitbucket,Shell,PowerShell,Python,Scala,Hadoop,Azure"
"Swedbank AB","Agile Product Owner",Mjukvaruutvecklare,Banking,Stockholm,"E-signing ,E-distribution"
"Swedbank AB","Technical Business Analyst",Mjukvaruutvecklare,"Financial Services",Stockholm,"Calypso platform,Front and back office system,Testing solutions"
"Swedbank AB","Software Engineer",Systemutvecklare/Programmerare,Banking,"Stockholm HQ","Mainframe,DB2,Cobol,SQL,JCL,Unix,Java"
"Swedbank AB","Software Engineer Mainframe/Cobol",Mjukvaruutvecklare,"Swedish Lending",Sundbyberg,"Cobol/Mainframe,DB2,SQL,IMS/DB"
"Swedbank AB","Agile Product Owner",Mjukvaruutvecklare,Banking,Stockholm,"E-signing ,E-distribution"
"Swedbank AB","Ab Initio Developer",Applikationsutvecklare/Apputvecklare,Banking,Stockholm,"GDE (Graphical Developer Environment),Control Center,Ab Initio Metadata Hub,Hive,HBase,Azure SQL,Azure Storage,Teradata,Oracle"
"Swedbank AB","Cloud Data Engineer / Big Data Engineer","Civilingenjör, systemutveckling",Banking,Stockholm,"ETL framework,Azure SQL,Azure Devops,MLOPS,SecOPS,Continuous testing/ CT,Databricks,Mlflows,RDBMS (MS SQL, Teradata, Oracle),BigData (Hive, Hbase, Spark),Coding (Scala, Java, Python),Relational SQL and NoSQL databases (especially HBase),Data formats (Avro, JSON, Parquet, ORC),HDInsight,Synopsis"
"Swedbank AB","Junior data scientist",Mjukvaruutvecklare,Banking,"Sundbyberg, Stockholm","SQL,Data Science,Statistics,Machine Learning,R,Python,SAS"
"Swedbank AB","Scrum Master to Production Support","Projektledare, IT","Financial Services",Stockholm,"JIRA,SNAP,Wiki/Confluence"
"Swedbank AB","Database Administrator",Mjukvaruutvecklare,Banking,Stockholm,"Teradata,Database Management Systems (DBMS),Scripting,Agile or SAFe framework"
"Swedbank AB","Senior APO with focus on cross functional collaboration",Systemanalytiker/Systemutredare,Banking,Sundbyberg,"Agile way of working ,Telephony ,Contact centres"
"Swedbank AB","Business Analyst to Regulatory Technology",Systemanalytiker/Systemutredare,AML/CTF,"Stockholm, Sundbyberg","Agile,SAFe transformation journey,Analytics,IT-development"
"Swedbank AB","Software engineer","Civilingenjör, systemutveckling",Banking,Sweden,"Java,COBOL,Zos,VB"
"Swedbank AB","Software Engineer – Full stack",Frontend-utvecklare,"Financial Services",Sundbyberg,"Java,Spring,TypeScript,Angular"
"Swedbank AB","Senior Strategy Manager",IT-säkerhetschef,"Financial Services",Sundbyberg,"IoT,Cloud,Channel,Daily Banking,Consumer Payments"
"Swedbank AB","Senior Transformation Manager",IT-säkerhetschef,"Financial Services",Sundbyberg,"Progress reporting and visualizing results, challenges, and gaps for transformation initiatives,Design and simplify large transformation programs to reach relevant results,Identify and analyze investment needs and new transformation opportunities,Explore how new technologies can be applied by the bank,Develop warm stakeholder relationships,Manage uncertainty and differing views between senior stakeholders,Drive large and transformation programs in a large and complex stakeholder environment,Establish an agile and customer centric development culture"
"Swedbank AB","Product Owner in Analytics at Anti Financial Crime",Systemanalytiker/Systemutredare,"Finance, Financial Crime, Cyber Security","All sites","Analytics,AI,Cloud,Emerging technologies"
"Swedbank AB","Pega Senior System Architect",IT-arkitekt/Lösningsarkitekt,Banking,Sundbyberg,"Pega,Java,DevSecOps,Cloud technologies (Azure, AWS),Automation,Continuous Delivery"
"Swedbank AB","Pega Senior System Architect",IT-arkitekt/Lösningsarkitekt,Banking,Sundbyberg,"Pega,Java,DevSecOps,Agile,Cloud Technologies (Azure, AWS),SW Development Life Cycle,Automation,Continuous Delivery"
"Swedbank AB","Data Protection Strategist",IT-samordnare,Financial,Stockholm,"Management Consultant,Senior Project Manager,APO,Privacy/Data Protection Manager,GDPR,Agile"
"Swedbank AB","Java Software Engineer to Digital Security",Datasäkerhetsansvarig,"Financial Society","Stockholm HQ or Vilnius",Frontend
"Swedbank AB","Digital Experience Development Manager","Projektledare, IT",Banking,Sundbyberg,"UX/UI,Web & App Design"
"Swedbank AB","Senior APO with focus on cross functional collaboration",Systemanalytiker/Systemutredare,Banking,Sundbyberg,"Agile way of working ,Telephony ,Contact centres"
"Swedbank AB","Senior APO with focus on cross functional collaboration",Systemanalytiker/Systemutredare,"Financial Services",Sundbyberg,"Agile way of working ,Management and communication skills ,Structured and self-driven"
"Swedbank AB","Senior APO with focus on cross functional collaboration",Systemanalytiker/Systemutredare,"Financial Services",Sundbyberg,"Agile way of working ,Management and communication skills ,Structured and self-driven"
"Swedbank AB","Team Manager","Configuration Manager/CM",Banking,Sweden,SAF
"Swedbank AB","Business Analyst to Group Business Intelligence",Systemanalytiker/Systemutredare,Banking,"Latvia and Lithuania","Business Requirements,Data Analysis,Project and Development Methodologies,Procedures, Methodologies, Frameworks, and Instructions"
"Swedbank AB","Senior data scientist",Systemarkitekt,"Banking and Finance","Stockholm, Riga, Tallinn, Vilnius","Data Science,Agile Business Environments,Business-Critical Products,Risk, AML or Cybersecurity"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,"Stockholm, Umeå","Mainframe and z/OS,Cobol,Java EE,XML and similar file formats,JIRA"
"Swedbank AB","Application Specialist to Production Support",Applikationsutvecklare/Apputvecklare,"Financial Services",Stockholm,"Configure and set up trading systems,Develop trading views and reports,Maintain the trading systems,Investigate and follow up functional anomalies,Support all users and stakeholders of the systems,Work with product areas Credits, FX, Fixed Income and derivatives,Be a part of the ongoing projects in the area,Work in a well-established agile framework (SAFe)"
"Swedbank AB","Scrum Master at Anti Financial Crime","Processansvarig, ITIL","Finance,Financial Crime,Cybersecurity","Stockholm HQ,Vilnius,Riga,Tallinn","Analytics,AI,Jira,Confluence,MS Excel,PowerPoint"
"Swedbank AB","Release Train Engineer at Anti Financial Crime","Drifttekniker, data","Finance,Financial Crime,Cybersecurity","Stockholm HQ,Vilnius,Riga,Tallinn","Analytics,AI,Jira,Confluence,MS Excel,PowerPoint"
"Swedbank AB","DevOps Engineer","Civilingenjör, systemutveckling",Banking,Sundbyberg,"Ansible,Continuous Integration,Continuous Delivery,Command Line,Linux/Unix Based Systems,Git,Kubernetes Clusters,Security by Code"
"Swedbank AB","Software Engineer with ETL and API knowledge","Civilingenjör, systemutveckling",Banking,Sundbyberg,"Data Warehouse and ETL ,UNIX and Oracle ,REST, APIgee and Web services ,Java, .Net, Yaml, Angular etc"
"Swedbank AB","Team Manager, Data Lake Engineering",Mjukvaruutvecklare,Banking,Stockholm,"ML,DevOps,DataOps"
"Swedbank AB","Architect to Data Warehouse within Group Business Intelligence",Systemarkitekt,Banking,"Riga,Tallinn,Vilnius,Stockholm","Agile Release Train,Group Data Warehouse (GDW),Swedish Data Warehouse (SDW),ETL pipelines,SQL"
"Swedbank AB","Lead UX Writer",Applikationsutvecklare/Apputvecklare,Banking,"Sundbyberg, Stockholm","UX Writing,Design principles,Interaction patterns,Sketch & Abstract"
"Swedbank AB","iOS Developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå,Stockholm,Vilnius","Swift,Objective-C,Software Development,Agile Methodology,Git,Design Patterns,Architecture"
"Swedbank AB","Mainframe/Cobol Software Engineer",Systemutvecklare/Programmerare,Banking,"Stockholm HQ, Riga, Tallinn or Vilnius","COBOL,JCL,Tivoli scheduler (OPC),Changeman,SQL and DB2 specifics,IMS/DB DL1,Pure XML"
"Swedbank AB","Software Engineer to IAM Application Onboarding","Säkerhetsanalytiker, IT",Banking,"Stockholm HQ, Tallin, Riga","PowerShell scripting,Microsoft AD,Azure AD,LDAP,Kerberos,SAML2,OAuth"
"Swedbank AB","Head of IT Operations",IT-strateg,Banking,"Stockholm HQ","Proactive and structured work following standards,IT operations processes,Networking"
"Swedbank AB","Software Engineer","Data Warehouse specialist",Banking,"Umeå, Stockholm","SQL,Teradata,Mainframe,PowerCenter,ETL verktyg"
"Swedbank AB","Security Assurance and Reporting Specialist","Säkerhetsanalytiker, IT",Banking,"Stockholm, Riga, Tallin, Vilnius","Security assurance,Security audit,GRC tools,BI tools"
"Swedbank AB","Information Security Officer-GRC",IT-säkerhetschef,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","RSA Archer,ServiceNow,SAP,Axio"
"Swedbank AB","Security Awareness, Culture and Change Specialist","Säkerhetsanalytiker, IT",Banking,"Stockholm, Riga, Tallin, Vilnius","Program management,Transforming culture,Behavioral change,Information security awareness programs,Training,Testing,Keynote speaking,Newsletters/editorials/intranet,Phishing/social engineering,Design tools,Multi-level stakeholder engagement"
"Swedbank AB","Information Security Officer-Supplier Security",Datasäkerhetsansvarig,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","GRC,Integrated GRC,Sourcing,Security Platforms,Automation,Data-driven Assessment Models"
"Swedbank AB","Master Data Business Architect",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm HQ","Master and reference data management ,Change management ,Data solutions"
"Swedbank AB","Business Analyst – Information Management (IM) Strategy and Execution",Systemanalytiker/Systemutredare,Banking,"Stockholm HQ","Data Strategy,Information Management,BI Services,Analytics,Change Management,Workforce Training,Launching and Marketing New Services"
"Swedbank AB","BIO Digital Banking & IT",Systemanalytiker/Systemutredare,Banking,Stockholm,"Quality, stability and security of channels, infrastructure and daily banking products,Agile mindset and business outcome guidance,Target Architecture,Enterprise BIO Management,Current and future business models and technologies,Agile principles and frameworks,Matrix organizations"
"Swedbank AB","Senior Kafka Architect to Business Intelligence",Systemutvecklare/Programmerare,Banking,Stockholm,"Kafka,Data Streaming,Advanced Analytics,Big Data,Security Management"
"Swedbank AB","Agile Product Owner (APO)",Systemadministratör,"Financial Markets",Stockholm,"Agile,IT development,IT management"
"Swedbank AB","BIO Digital Banking & IT",Systemanalytiker/Systemutredare,Banking,Stockholm,"Quality, stability and security of channels, infrastructure and daily banking products,Agile mindset and business outcome guidance,Target Architecture,Enterprise BIO Management,Current and future business models and technologies,Agile principles and frameworks,Matrix organizations"
"Swedbank AB","Security Assurance and Reporting Specialist","Säkerhetsanalytiker, IT",Banking,"Stockholm, Riga, Tallin, Vilnius","Security assurance and security audit,GRC tools,BI tools"
"Swedbank AB","Information Security Officer-Supplier Security",Datasäkerhetsansvarig,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","GRC,Integrated GRC,Sourcing,Security Platforms,Automation,Data-driven Assessment Models"
"Swedbank AB","Information Security Officer-GRC",IT-säkerhetschef,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","RSA Archer,ServiceNow,SAP,Axio"
"Swedbank AB","Security Awareness, Culture and Change Specialist","Säkerhetsanalytiker, IT",Banking,"Stockholm, Riga, Tallin, Vilnius","Program management,Transforming culture,Behavioral change,Information security awareness programs,Multi-level stakeholder engagement,Design tools,Multiple channels"
"Swedbank AB","Cobol Software Engineer ISK & IPS",Systemutvecklare/Programmerare,Banking,Sundbyberg,"Cobol/Mainframe,DB2"
"Swedbank AB","Agile Product Owner to Swedbank Försäkring",Mjukvaruutvecklare,Insurance,"Sundbyberg, Stockholm","Pega platform,Project management,Product development"
"Swedbank AB","Cloud DevOps Engineer",Systemutvecklare/Programmerare,Banking,Stockholm,"Automate cloud infrastructure setup to Manage Azure tenant and Build CI/CD pipelines ,Build resilient infrastructure to scale out the model training and prediction ,Build end to end monitoring solutions for machine learning pipelines, and their infrastructure ,Develop DevOps solution for data science MLOps ,Develop technical capabilities to enable large scale machine learning solutions ,Scripting tools ,DevOps in microservice context ,Container technologies, like Docker, Kubernetes ,Databricks"
"Swedbank AB","Business Analysts within Payment Processing",Systemanalytiker/Systemutredare,Banking,Stockholm,"Requirement gathering,Detailing,Verification,Quality assurance,Discovery work,Business analysis,Requirement management,Acceptance testing,Methods and tools used in business analysis,Agile ways of working,SAFe"
"Swedbank AB","Agile Product Owner to Group Anti Financial Crime unit",Mjukvaruutvecklare,"Financial services",Stockholm,"PEGA,Customer due diligence,System deployment and implementation,Change management"
"Swedbank AB","Senior APO with focus on cross functional collaboration",Systemanalytiker/Systemutredare,Banking,Sundbyberg,"Agile way of working ,Management and communication skills ,Structured and self-driven"
"Swedbank AB","Software Engineer",Systemtestare,Banking,"Sundbyberg, Stockholm","Java,Javascript,C#/ .Net,MS Visual Studio,Loadrunner,Neoload,Application Servers,Unix/ Linux,Spring Boot,Databases,Load Balancers,Dockers,Kubernetes,K6,JMeter,APM tools like AppDynamics"
"Swedbank AB","Incident Process Manager",Datasäkerhetsansvarig,Banking,Sundbyberg,"Cyber Security Incident Handling,Cyber Security Incident Management,Cyber Threat Intelligence,Process Management,Risk Management"
"Swedbank AB","SIRT Officer/Incident investigator/Threat Hunter",Datasäkerhetsansvarig,Banking,Sundbyberg,"Cyber Security Incident handling ,Cyber Security Investigations ,Cyber Threat Intelligence ,Cyber Threat Hunting ,Network forensics ,Computer forensics ,Malware analysis ,GIAC Cyber Defense or Incident Response And Forensics certification ,IACIS certifications, CFR, ISC2 certifications, CEH, CCNA Cyber Ops ,PCI DSS ,Mobile forensics"
"Swedbank AB","Software Engineer in BI Enterprise reporting",Systemanalytiker/Systemutredare,Banking,"Sundbyberg, Stockholm","Schema architecture,SQL query creation,ETL,Data integration,Dimensional modelling,Service management,Microstrategy,Business Objects,Qlikview/Qlik Sense,SPSS Modeler"
"Swedbank AB","DevOps Engineer","Civilingenjör, systemutveckling",Banking,Sundbyberg,"Ansible,Continuous Integration,Continuous Delivery,Command Line,Linux/Unix Based Systems,Git,Kubernetes Clusters,Security by Code"
"Swedbank AB","Software Engineer - Pega / Java to Lending Transformation",Mjukvaruutvecklare,Banking,"Stockholm HQ","Pega,Java"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Stockholm,"Java,REST,SOAP,Angular JS,Angular II,NGRX"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,"Stockholm HQ","Pega,Java,Automation"
"Swedbank AB","Product Owner for Enablement & Optimization at Anti Financial Crime","Projektledare, IT","Finance,Financial Crime,Cyber Security","Stockholm HQ,Riga,Tallinn,Vilnius","Cloud,Analytics,AI,API's"
"Swedbank AB","Information Security Officer-Supplier Security",Datasäkerhetsansvarig,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","GRC,Integrated GRC,Sourcing,Security Platforms,Automation,Data-driven Assessment Models"
"Swedbank AB","Information Security Officer-GRC",IT-säkerhetschef,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","RSA Archer,ServiceNow,SAP,Axio"
"Swedbank AB","IT Auditors to Group Internal Audit",Systemutvecklare/Programmerare,Banking,Sundbyberg,"Business and IT applications,IT Infrastructure,IT Processes,Third-party services"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,"Sundbyberg, Stockholm","AppDynamics,Kubernetes"
"Swedbank AB","IT Auditors to Group Internal Audit",Systemutvecklare/Programmerare,Banking,Sundbyberg,"Business and IT applications,IT Infrastructure,IT Processes,Third-party services"
"Swedbank AB","Software Engineer to GBI",IT-tekniker/Datatekniker,"Financial Services",Umeå,"Agile way of working (Scrum or Kanban),Business Intelligence,Teradata,ETL-tool,SQL"
"Swedbank AB","Software Engineer to GBI",IT-tekniker/Datatekniker,"Financial Services",Umeå,"Agile way of working (Scrum or Kanban),Business Intelligence,Teradata,ETL-tool,SQL"
"Swedbank AB","Data Quality Specialist",IT-tekniker/Datatekniker,Banking,Stockholm,"Test Automation,Scripting tools,DevOps,Databases (Teradata, MS SQL),ETL (Powercenter, Ab Initio, ODI),Microservice (Java, Scala, Python),Container technologies (Docker, Kubernetes)"
"Swedbank AB","Information Security Officer-GRC",IT-säkerhetschef,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","RSA Archer,ServiceNow,SAP,Axio"
"Swedbank AB","Information Security Officer-Supplier Security",Datasäkerhetsansvarig,"Financial Services","Stockholm, Vilnius, Riga, Tallinn","GRC,Integrated GRC,Sourcing,Security Platforms,Automation,Data-driven Assessment Models"
"Swedbank AB","UX Designer",Mjukvaruutvecklare,Banking,Sundbyberg,"Sketch,InVision,Designprogram"
"Swedbank AB","Architect to Swedbank Försäkring",IT-arkitekt/Lösningsarkitekt,Insurance,Stockholm,"Enterprise Java,Spring,Angular,Node,MQ,REST"
"Swedbank AB",Cobolutvecklare,Mjukvaruutvecklare,Banking,Stockholm,"Cobol,Mainframe,DB2,IBM Filemanager,z/OS,XML/PureXML,FaultAnalyzer,CMN Changeman (Librarian),MQ,IMS,OPC Scheduler"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Stockholm,"Java,REST,SOAP,Angular JS,Angular II,NGRX"
"Swedbank AB","Application Specialist Trading Systems",Mjukvaruutvecklare,"Financial Services",Stockholm,"Calypso,Murex MX.3"
"Swedbank AB","Transaction Monitoring and Sanctions Architect to Anti Financial Crime",IT-arkitekt/Lösningsarkitekt,"Financial Crime Prevention","Sundbyberg, Stockholm","Cloud-based innovations,Agile development environments,AML/CTF or Fraud Monitoring deployments"
"Swedbank AB","Business Intelligence Architect for Enterprise Analytics in the Cloud",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm, Tallinn, Riga or Vilnius","Data Integrations,EAC & Data Lake,Cloud Services,Information Architecture,Data Governance,BI Service Development"
"Swedbank AB","Junior Data analyst to credit risk modelling",Systemanalytiker/Systemutredare,Banking,"Sundbyberg, Stockholm","Statistical and mathematical modelling techniques ,Analytical tools and data"
"Swedbank AB","Android Developer",Applikationsutvecklare/Apputvecklare,Banking,"Stockholm,Umeå,Vilnius","Android,iOS,Jetpack"
"Swedbank AB","Scrum Master within Cash Management",Mjukvaruutvecklare,"Payments Platform","Stockholm or Vilnius","Agile methodology,Software development,SAFe environment"
"Swedbank AB","SQL Developer",Databasutvecklare,Banking,Stockholm,"Data modelling,Mapping and integration to ETL framework,Azure SQL PAAS solution (Managed Instance),Design and develop views/ macros/ procedures,Design and develop deployment pipeline for SQL objects,Database optimization and elastic scaling,Resilient solution development with high availability,Hadoop,Azure SQL,Databricks"
"Swedbank AB","Software engineer","Civilingenjör, systemutveckling",Banking,"Not Mentioned","Java,Zos,Cobol,VB"
"Swedbank AB","Junior Data analyst to credit risk modelling",Systemanalytiker/Systemutredare,Banking,"Sundbyberg, Stockholm","Statistical and mathematical modelling techniques ,Analytical tools and data"
"Swedbank AB","Software Engineer to Swedbank Försäkring",Mjukvaruutvecklare,Insurance,Stockholm,"Java 11,Spring Boot,Git,Command Line,Linux/Unix,Docker,Kubernetes,OpenShift"
"Swedbank AB","Team Manager for Software Engineers, AML Engineering Guild, Anti Financi...",Mjukvaruutvecklare,"Finance, Financial Crime, Cybersecurity","Stockholm, Tallin, Riga, Vilnius","CI/CD,DevOps methods,Agile Development frameworks"
"Swedbank AB","Software Engineer for BI Analytics Platform",Mjukvaruutvecklare,Banking,Stockholm,"Microsoft Azure,Kafka,Ab Initio,Ansible,Jenkins/Azure DevOps,GIT"
"Swedbank AB","Senior Business Analyst",Systemadministratör,"Financial Services",Stockholm,"Regulatory Reporting,MIFID 2,MIFIR,EMIR,EMIR Refit,SFTR,MMSR,STIBOR,STARS database,EDM & Trade bus"
"Swedbank AB","Infrastructure Engineer",Mjukvaruutvecklare,"Financial Crime, Cyber Security","Stockholm, Tallinn, Riga","DevSecOps,APIs,Automation,Privileged Access Management (e.g., CyberArk)"
"Swedbank AB","Privacy Manager",Datasäkerhetsansvarig,"Financial Sector","Sundbyberg ,Vilnius ,Riga ,Tallinn","GDPR ,Information Security ,AI ,Machine Learning"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Stockholm,"Java,REST and SOAP service architecture,Angular JS and Angular II,NGRX,Unit-testing,Test"
"Swedbank AB","Domain Architect, Digital Banking",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm or Tallinn","Real time rendering,Document storage,Information architecture,Data governance,Agile development"
"Swedbank AB","Infrastructure engineer/Software engineer",Mjukvaruutvecklare,Banking,"Stockholm and Tallinn","Switching and routing,802.1x protocol,Design and development of client networks, cabled and wireless,CISCO firewalls and DNA,Programming and scripting (Python and SQL),Azure"
"Swedbank AB","Software Engineer within Anti-Money Laundry",Mjukvaruutvecklare,Banking/AML,"Stockholm, Tallinn, Riga & Vilnius","Java,Python,Shell scripting,XML,SQL (Oracle),Teradata,ETL data pipelines,Networking"
"Swedbank AB","Quant Risk Developer",Systemutvecklare/Programmerare,"Financial Services",Sundbyberg,"Database design knowledge - information modelling, SSIS, Store Procedures, Functions etc,Experience of script programming, such as Python, Shell-script, Java or C#"
"Swedbank AB","Software engineer","Civilingenjör, systemutveckling",Banking,"Not Mentioned","Java,Zos,Cobol,VB"
"Swedbank AB","Infrastructure Engineer in Identity and Access Management (IAM)",Infrastrukturarkitekt,Banking,"Stockholm, Tallin, Riga","Directory Services (Microsoft AD, Azure AD, LDAP, Kerberos, SAML2, OAuth),DevSecOps practices,SAFe and DevOps concepts"
"Swedbank AB","Infra & Cloud Engineer, Identity & Access Management",Datasäkerhetsansvarig,Banking,"Stockholm, Tallinn, Riga","Microsoft AD,Azure AD,LDAP,Kerberos,SAML2,OAuth,PowerShell scripting"
"Swedbank AB","Software Engineer – Full Stack",Mjukvaruutvecklare,Banking,Stockholm,"Angular,Node.js,Java EE,GIT,WebStorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Agile Product Owner to Consumer Payments team","Projektledare, IT","Banking/Financial Services",Stockholm,"SAFe,Scaled Agile Framework"
"Swedbank AB","Infrastructure Engineer",Infrastrukturarkitekt,FinTech,"Stockholm, Tallinn","Network security architecture,Firewall,ADC,Proxy solutions,IDS/IPS,Agile methods"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Sundbyberg,"Continuous integration,Development,Resilience services,Data compliance"
"Swedbank AB","SIRT Officer/Incident investigator/Threat Hunter",Datasäkerhetsansvarig,Banking,"Sundbyberg,Riga,Tallinn,Vilnius","Cyber Security Incident handling,Cyber Security Investigations,Cyber Threat Intelligence,Cyber Threat Hunting,Network forensics,Computer forensics,Malware analysis,GIAC Cyber Defense or Incident Response And Forensics certification,IACIS certifications, CFR, ISC2 certifications, CEH, CCNA Cyber Ops,PCI DSS,Mobile forensics"
"Swedbank AB","Software engineer – PEGA developer to Anti Financial Crime",Mjukvaruutvecklare,"Financial Services","Sundbyberg, Stockholm","PEGA,Oracle,Web Services,MQ,Java/Web development"
"Swedbank AB","System tester/Software Engineer to Group Anti Financial Crime unit",Mjukvaruutvecklare,"Financial Services","Stockholm, Sundbyberg","PEGA,Java/Web development,API-testing,PEGA software development,PEGA Client Lifecycle Management"
"Swedbank AB","Team Manager, Cyber Security & IAM Engineering",IT-säkerhetschef,"Financial Crime","Sundbyberg, Tallinn","Cyber Security,Identity & Access Management engineering,Agile/SAFe-based development process,DevSecOps,Software engineering"
"Swedbank AB","BI Architect for Operational Data Lake",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Riga, Vilnius","Operational Data Lake (ODL),Change Data Capture (CDC),Cloud services,Business Intelligence,Advanced analytics,Big data,Security management"
"Swedbank AB","BI Architect for AB Initio Platform",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Riga, Vilnius","AB Initio,Data Integration,Information Management,ETL"
"Swedbank AB","Software Developer in Windows Server Engineering",Mjukvaruutvecklare,"Financial Services","Not mentioned","Infrastructure as Code,Virtualization,Cloud Technologies"
